Hao 
 1:00:02,000 01/01/1904 
0,661832 	 0,535762 	 0,327985 
0,123734 	 0,940934 	 0,458664 
0,518340 	 0,179091 	 0,227787 
0,985524 	 0,404336 	 0,865717 
0,326664 	 0,167423 	 0,489281 
0,437438 	 0,338230 	 0,695489 
0,249376 	 0,027753 	 0,919988 
0,928001 	 0,051642 	 0,821234 
0,110457 	 0,049879 	 0,404934 
0,452697 	 0,849842 	 0,097059 
0,466402 	 0,532464 	 0,055143 
0,299746 	 0,968410 	 0,081976 
0,199865 	 0,824693 	 0,031904 
0,873485 	 0,956579 	 0,200303 
0,643524 	 0,994319 	 0,302579 
0,406592 	 0,027546 	 0,085428 
0,394366 	 0,761669 	 0,707917 
0,153984 	 0,042472 	 0,923664 
0,158661 	 0,956352 	 0,313647 
0,162202 	 0,399705 	 0,490552 
0,288188 	 0,521631 	 0,013171 
0,524958 	 0,347340 	 0,796660 
0,305243 	 0,197426 	 0,532815 
0,842491 	 0,165697 	 0,615593 
0,734116 	 0,928504 	 0,241502 
0,759197 	 0,921405 	 0,922657 
0,589782 	 0,520037 	 0,017739 
0,551729 	 0,070941 	 0,078240 
0,890218 	 0,965872 	 0,128122 
0,858349 	 0,218517 	 0,766565 
0,027280 	 0,127173 	 0,708428 
0,544614 	 0,601855 	 0,620321 
0,563767 	 0,942661 	 0,812105 
0,716659 	 0,166738 	 0,507154 
0,053877 	 0,215013 	 0,572484 
0,493488 	 0,554903 	 0,281103 
0,422281 	 0,006394 	 0,481686 
0,379079 	 0,618800 	 0,334020 
0,818456 	 0,391909 	 0,985537 
0,520703 	 0,364629 	 0,759127 
0,853032 	 0,602079 	 0,405657 
0,148879 	 0,116366 	 0,729205 
0,826979 	 0,583912 	 0,035005 
0,733884 	 0,807676 	 0,986239 
0,265554 	 0,589568 	 0,911872 
0,921022 	 0,103792 	 0,308494 
0,614935 	 0,110251 	 0,589954 
0,283931 	 0,538370 	 0,877569 
0,596405 	 0,993367 	 0,573121 
0,306383 	 0,712577 	 0,715773 
0,616307 	 0,979974 	 0,429373 
0,816657 	 0,648605 	 0,894673 
0,006088 	 0,269420 	 0,221928 
0,544063 	 0,148066 	 0,455508 
0,880199 	 0,803803 	 0,557840 
0,564658 	 0,013600 	 0,353019 
0,752855 	 0,015340 	 0,843688 
0,060773 	 0,023073 	 0,961431 
0,966296 	 0,569992 	 0,515469 
0,245247 	 0,068671 	 0,844195 
0,477605 	 0,711083 	 0,308507 
0,167283 	 0,910693 	 0,262497 
0,796440 	 0,898593 	 0,126983 
0,851931 	 0,347651 	 0,367624 
0,968234 	 0,904410 	 0,415955 
0,992962 	 0,435403 	 0,220955 
0,584019 	 0,542198 	 0,030585 
0,963242 	 0,821730 	 0,306488 
0,830109 	 0,533059 	 0,185326 
0,169571 	 0,539451 	 0,461186 
0,612734 	 0,400164 	 0,717166 
0,367246 	 0,749586 	 0,014157 
0,818043 	 0,750957 	 0,089054 
0,009213 	 0,897565 	 0,778997 
0,447510 	 0,765794 	 0,405671 
0,424332 	 0,499843 	 0,717974 
0,526213 	 0,160955 	 0,732671 
0,312299 	 0,656233 	 0,208757 
0,292755 	 0,950803 	 0,968443 
0,212945 	 0,845987 	 0,511915 
0,510351 	 0,653365 	 0,878400 
0,590091 	 0,079064 	 0,914591 
0,058523 	 0,355672 	 0,891644 
0,232144 	 0,058136 	 0,392248 
0,578889 	 0,106819 	 0,898671 
0,853643 	 0,778657 	 0,332171 
0,932510 	 0,007618 	 0,711265 
0,617897 	 0,791642 	 0,358541 
0,056542 	 0,133202 	 0,940856 
0,642841 	 0,814715 	 0,155722 
0,306331 	 0,239684 	 0,426887 
